"vid","cid","id","source","project","pcode","name","visit_date","visit_onsite","visit_onsite_novisitreason","geom","longitude","latitude","location_origin","province","province_old","territoire","collectivite","groupement","village","workers_numb","access_dry","access_wet","is_3t_mine","is_gold_mine","mineral1","selling_points_mineral1","final_destination_mineral1","mineral2","selling_points_mineral2","final_destination_mineral2","mineral3","selling_points_mineral3","final_destination_mineral3","mercury","presence","interference","armed_group1","type_armed_group1","frequency_armed_group1","taxation_armed_group1","commerce_taxation_armed_group1","entrance_taxation_armed_group1","monopoly_armed_group1","buying_minerals_armed_group1","digging_armed_group1","forced_labour_armed_group1","pillaging_armed_group1","pit_ownership_armed_group1","armed_group2","type_armed_group2","frequency_armed_group2","taxation_armed_group2","commerce_taxation_armed_group2","entrance_taxation_armed_group2","monopoly_armed_group2","buying_minerals_armed_group2","digging_armed_group2","forced_labour_armed_group2","pillaging_armed_group2","pit_ownership_armed_group2","armed_group3","type_armed_group3","frequency_armed_group3","taxation_armed_group3","commerce_taxation_armed_group3","entrance_taxation_armed_group3","monopoly_armed_group3","buying_minerals_armed_group3","digging_armed_group3","forced_labour_armed_group3","pillaging_armed_group3","pit_ownership_armed_group3","mechanisation","state_service1","state_service2","state_service3","state_service4","traceability","qualification","childunder15","childunder15work","women","womenwork"
1,1,1,"IPIS - Ministère des Mines","IPIS - 2009","codmine00191","Eohe","2009-01-01",1,,"0101000020E610000019533F6E1BB73C40099869E9C091D53F",28.71526230855952,0.3370210914057457,"GPS","Nord-Kivu","Nord-Kivu","Lubero","Bapere","Baredje","Maendeleo",300,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,"IPIS - Ministère des Mines","IPIS - 2009","codmine00192","Eita","2009-01-01",1,,"0101000020E6100000DEAB5626FCB23C404EB4AB90F293D43F",28.69916,0.32153,"GPS","Nord-Kivu","Nord-Kivu","Lubero","Bapere","Baredje","Tembe",110,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,"IPIS - Ministère des Mines","IPIS - 2009","codmine00242","Mungu Iko","2009-01-01",1,,"0101000020E61000007075597C652F3C4096751A899270E13F",28.1851422995,0.5449917486,"GPS (Approximation)","Nord-Kivu","Nord-Kivu","Lubero","Bapere","Bapaitumba","Ehoto",,,,1,1,"Or",,,"Coltan",,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,"Maï-Maï Simba","Groupe armé local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,"IPIS - Ministère des Mines","IPIS - 2009","codmine00260","Kiviri/Tayna","2009-01-01",1,,"0101000020E61000007365506D70E23C40B60F79CBD58FD6BF",28.884528,-0.352529,"GPS","Nord-Kivu","Nord-Kivu","Lubero","Bamate","Luenge","Vunyakavulivwa",,,,0,1,"Or",,,"Diamant",,,,,,,1,,"FDLR","Groupe armé étranger",,,,,,,,,,,"Maï-Maï","Groupe armé local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,"IPIS - Ministère des Mines","IPIS - 2009","codmine00272","Makanga","2009-01-01",1,,"0101000020E6100000FA6184F068E73C40198C118942CBA2BF",28.903945,-0.036707,"GPS","Nord-Kivu","Nord-Kivu","Lubero","Batangi","Musindi","Ngohi",,,,0,1,"Or",,,"Diamant",,,,,,,1,,"FDLR","Groupe armé étranger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,"IPIS - Ministère des Mines","IPIS - 2009","codmine00286","Kasongo","2009-01-01",1,,"0101000020E6100000D52137C30D6C3D40A9C979EC5466EC3F",29.422085,0.8874916666666667,"GPS","Nord-Kivu","Nord-Kivu","Beni","Beni-Mbau","Batangi-Mbau","Mamove",50,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,"IPIS - Ministère des Mines","IPIS - 2009","codmine00288","Mununze","2009-01-01",1,,"0101000020E610000012312592E83D3D403A5D16139B0FE33F",29.24183,0.595655,"GPS","Nord-Kivu","Nord-Kivu","Beni","Beni-Mbau","Baswagha-Madiwe","Mununze",20,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,"IPIS - Ministère des Mines","IPIS - 2009","codmine00290","Kiboto","2009-01-01",1,,"0101000020E6100000473D44A33B183D40658BA4DDE863DD3F",29.09466,0.459223,"GPS","Nord-Kivu","Nord-Kivu","Beni","Beni-Mbau","Baswagha-Madiwe","Cantine/Aloya",300,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,"IPIS - Ministère des Mines","IPIS - 2009","codmine00307","Ruzirantaka (rivière)","2009-01-01",1,,"0101000020E6100000EBAC16D863E23C40541A31B3CF23FBBF",28.884336,-1.696243,"GPS","Nord-Kivu","Nord-Kivu","Masisi","Bahunde","Muvunyi-Shanga","Ruzirantaka",27,,,1,0,"Cassitérite",,,"Tourmaline",,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,"IPIS - Ministère des Mines","IPIS - 2009","codmine00309","D3 Bibatama","2009-01-01",1,,"0101000020E610000044149337C0E43C400B462575025AF9BF",28.893558,-1.584475,"GPS","Nord-Kivu","Nord-Kivu","Masisi","Bahunde","Muvunyi-Karuba","Rugeshi/Humule",1150,,,1,0,"Cassitérite",,,"Coltan",,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,11,"IPIS - Ministère des Mines","IPIS - 2009","codmine00311","D4 Gakombe","2009-01-01",1,,"0101000020E6100000BF61A2410AE23C40A14D0E9F7422F9BF",28.882969,-1.570912,"GPS","Nord-Kivu","Nord-Kivu","Masisi","Bahunde","Matanda","Karambayiro/Luhundje",700,,,1,0,"Coltan",,,,,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,12,"IPIS - Ministère des Mines","IPIS - 2009","codmine00312","Luwowo/Gasasa","2009-01-01",1,,"0101000020E6100000E3B7B4D3C1E13C40E84CECC091F6F8BF",28.88186381494587,-1.5601975952202398,"GPS","Nord-Kivu","Nord-Kivu","Masisi","Bahunde","Matanda","Luwowo/Luhundje",25,,,1,0,"Coltan",,,,,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,13,"IPIS - Ministère des Mines","IPIS - 2009","codmine00312","Luwowo/Gasasa","2009-01-01",1,,"0101000020E6100000E3B7B4D3C1E13C40E84CECC091F6F8BF",28.88186381494587,-1.5601975952202398,"GPS","Nord-Kivu","Nord-Kivu","Masisi","Bahunde","Matanda","Luwowo/Luhundje",50,,,1,0,"Coltan",,,"Cassitérite",,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,14,"IPIS - Ministère des Mines","IPIS - 2009","codmine00318","D2 Bibatama","2009-01-01",1,,"0101000020E61000009AB0FD648CE33C4011E50B5A4840F9BF",28.888861,-1.578194,"GPS","Nord-Kivu","Nord-Kivu","Masisi","Bahunde","Karuba","Humule",612,,,1,0,"Coltan",,,,,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,15,"IPIS - Ministère des Mines","IPIS - 2009","codmine00319","Koyi","2009-01-01",1,,"0101000020E6100000A780FEFA5DE73C401FAB8F9C10EBF8BF",28.9037777778,-1.5573888889,"GPS","Nord-Kivu","Nord-Kivu","Masisi","Bahunde","Matanda","Luhundje",45,,,1,0,"Cassitérite",,,"Coltan",,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,16,"IPIS - Ministère des Mines","IPIS - 2009","codmine00377","Mironge","2009-01-01",1,,"0101000020E6100000B16D5166834C3C406362F3716DA8F1BF",28.29888,-1.10362,"GPS","Nord-Kivu","Nord-Kivu","Walikale","Wanianga","Ihana","Banamutabira",40,,,0,1,"Or",,,,,,,,,,1,,"FDLR","Groupe armé étranger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,17,"IPIS - Ministère des Mines","IPIS - 2009","codmine00381","Shempika","2009-01-01",1,,"0101000020E61000002426A8E15BE03B407D08AA46AF06F2BF",27.876402,-1.126632,"GPS","Nord-Kivu","Nord-Kivu","Walikale","Wanianga","Utunda","Bakondjo",54,,,0,1,"Or",,,,,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,18,"IPIS - Ministère des Mines","IPIS - 2009","codmine00382","Omate","2009-01-01",1,,"0101000020E61000001AF7E6374CDC3B40BEA25BAFE981F1BF",27.860538,-1.094217,"GPS","Nord-Kivu","Nord-Kivu","Walikale","Wanianga","Utunda","Bakondjo",330,,,0,1,"Or",,,,,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,19,"IPIS - Ministère des Mines","IPIS - 2009","codmine00383","Tokobika","2009-01-01",1,,"0101000020E61000002310AFEB17DC3B40D8463CD9CD4CF1BF",27.85974,-1.081251,"GPS","Nord-Kivu","Nord-Kivu","Walikale","Wanianga","Utunda","Bakondjo",9,,,0,1,"Or",,,"Diamant",,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,20,"IPIS - Ministère des Mines","IPIS - 2009","codmine00384","Mafilo","2009-01-01",1,,"0101000020E6100000D6E6FF5547DE3B400873BB97FB24F1BF",27.868276,-1.071529,"GPS","Nord-Kivu","Nord-Kivu","Walikale","Wanianga","Utunda","Bakondjo",,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,21,"IPIS - Ministère des Mines","IPIS - 2009","codmine00392","Angoa","2009-01-01",1,,"0101000020E610000096EA025E66CC3B401A14CD035864F0BF",27.798437,-1.024498,"GPS","Nord-Kivu","Nord-Kivu","Walikale","Wanianga","Wassa","Banesa",192,,,0,1,"Or",,,"Diamant",,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,22,"IPIS - Ministère des Mines","IPIS - 2009","codmine00393","Kabombo","2009-01-01",1,,"0101000020E61000006A4DF38E53CC3B40D5E76A2BF657F0BF",27.79815,-1.021475,"GPS","Nord-Kivu","Nord-Kivu","Walikale","Wanianga","Utunda","Banesa",39,,,0,1,"Or",,,"Diamant",,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,23,"IPIS - Ministère des Mines","IPIS - 2009","codmine00396","Bisie Mpama","2009-01-01",1,,"0101000020E6100000DCB930D28BBE3B4048F949B54F87F0BF",27.744321,-1.033035,"GPS","Nord-Kivu","Nord-Kivu","Walikale","Wanianga","Wassa","Bangandula",2500,,,1,0,"Cassitérite",,,"Bauxite",,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,24,"IPIS - Ministère des Mines","IPIS - 2009","codmine00405","Muchele","2009-01-01",1,,"0101000020E61000009276A38FF9D03B4091F0BDBF417BF3BF",27.816308,-1.217592,"GPS","Nord-Kivu","Nord-Kivu","Walikale","Wanianga","Wassa","Okondo",36,,,0,1,"Or",,,,,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,25,"IPIS - Ministère des Mines","IPIS - 2009","codmine00407","Camp Brique","2009-01-01",1,,"0101000020E6100000287E8CB96BBD3B4063F1C51D823DF5BF",27.739925,-1.3275166667,"GPS","Nord-Kivu","Nord-Kivu","Walikale","Wanianga","Wassa","Batike",150,,,1,0,"Cassitérite",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,26,"IPIS - Ministère des Mines","IPIS - 2009","codmine00408","Camp Plaine","2009-01-01",1,,"0101000020E6100000F995F6E133BC3B40567DAEB6627FF5BF",27.7351666667,-1.3436,"GPS","Nord-Kivu","Nord-Kivu","Walikale","Wanianga","Wassa","Batike",275,,,1,0,"Cassitérite",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,27,"IPIS - Ministère des Mines","IPIS - 2009","codmine00410","Abambuwa","2009-01-01",1,,"0101000020E610000037A968ACFDC13B40FE7DC68503E1F6BF",27.757777,-1.429935,"GPS","Nord-Kivu","Nord-Kivu","Walikale","Wanianga","Wassa","Bakukwe",48,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,28,"IPIS - Ministère des Mines","IPIS - 2009","codmine00411","Angwetu","2009-01-01",1,,"0101000020E610000098A1F14410C73B405E4BC8073DDBF6BF",27.777592,-1.428525,"GPS","Nord-Kivu","Nord-Kivu","Walikale","Wanianga","Wassa","Bakukwe",21,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,"IPIS - Ministère des Mines","IPIS - 2009","codmine00412","Camp Léopard","2009-01-01",1,,"0101000020E61000003E23111AC1C23B4084D6C3978922F7BF",27.760759,-1.445932,"GPS","Nord-Kivu","Nord-Kivu","Walikale","Wanianga","Wassa","Bakukwe",36,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,30,"IPIS - Ministère des Mines","IPIS - 2009","codmine00415","Maroc","2009-01-01",1,,"0101000020E61000002BBD361B2BC93B40ED0F94DBF6BDF7BF",27.785814,-1.483878,"GPS","Nord-Kivu","Nord-Kivu","Walikale","Wanianga","Wassa","Bakukwe",75,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,31,"IPIS - Ministère des Mines","IPIS - 2009","codmine00465","Bongobongo I","2009-01-01",1,,"0101000020E6100000272EC72B10C13B40B5FD2B2B4D8AF8BF",27.754153,-1.533765,"GPS","Nord-Kivu","Nord-Kivu","Walikale","Bakano","Bakondjo","Bakondjo",120,,,1,0,"Cassitérite",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,32,"IPIS - Ministère des Mines","IPIS - 2009","codmine00679","Matongo","2009-01-01",1,,"0101000020E61000007E1D386744C13B40D8F15F2008F001C0",27.75495,-2.242203,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Bakisi","Bamuguba-Nord","Bionga",,,,1,0,"Cassitérite",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,33,"IPIS - Ministère des Mines","IPIS - 2009","codmine00684","Nyambembe","2009-01-01",1,,"0101000020E6100000910DA48B4DBB3B40D8666325E6D901C0",27.731652,-2.231396,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Bakisi","Bamuguba-Nord","Nyambembe",,,,1,0,"Cassitérite",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,34,"IPIS - Ministère des Mines","IPIS - 2009","codmine00685","Swiza","2009-01-01",1,,"0101000020E610000025A70AD6E0D73B40FA565D9457DC01C0",27.843274476624305,-2.2325889197335274,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Bakisi","Bamuguba-Nord","Swiza",,,,1,0,"Cassitérite",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,35,"IPIS - Ministère des Mines","IPIS - 2009","codmine00688","Wameri","2009-01-01",1,,"0101000020E61000004E5FCFD72C9F3B40397F130A11B002C0",27.621778,-2.33597,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Bakisi","Bamuguba-Nord","Kato/Wameri",,,,1,0,"Cassitérite",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,36,"IPIS - Ministère des Mines","IPIS - 2009","codmine00693","Nietubu","2009-01-01",1,,"0101000020E6100000D47E6B274A9E3B40F7E80DF791DB01C0",27.618319,-2.232212,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Bakisi","Bamuguba-Nord","Lukala/Lulingu",,,,1,0,"Cassitérite",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,37,"IPIS - Ministère des Mines","IPIS - 2009","codmine00695","Tchonka","2009-01-01",1,,"0101000020E6100000CB4C69FD2D893B40B30A9B012E8802C0",27.535858,-2.316494,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Bakisi","Bamuguba-Nord","Tchonka",,,,1,0,"Cassitérite",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,38,"IPIS - Ministère des Mines","IPIS - 2009","codmine00697","Niabesi","2009-01-01",1,,"0101000020E6100000E7C589AF76903B40FFCA4A93527002C0",27.564311,-2.304845,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Bakisi","Bamuguba-Nord","Tchonka/Mumbilwa",,,,1,0,"Cassitérite",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,39,"IPIS - Ministère des Mines","IPIS - 2009","codmine00726","Mobale","2009-01-01",1,,"0101000020E6100000AEF2C2A57C2C3C407185A038BA9108C0",28.17377697,-3.07115597,"GPS","Sud-Kivu","Sud-Kivu","Mwenga","Wamuzimu","Baligi","Kitemba",550,,,0,1,"Or",,,,,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,40,"IPIS - Ministère des Mines","IPIS - 2009","codmine00729","Kazibe","2009-01-01",1,,"0101000020E610000064F0498A3C2D3C40A02F2028758908C0",28.17670502,-3.06711799,"GPS","Sud-Kivu","Sud-Kivu","Mwenga","Wamuzimu","Baligi","Tchanda",240,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,41,"IPIS - Ministère des Mines","IPIS - 2009","codmine00734","Matenende","2009-01-01",1,,"0101000020E6100000E6D80FEB6C283C405A26261C388708C0",28.15791196,-3.06602499,"GPS","Sud-Kivu","Sud-Kivu","Mwenga","Wamuzimu","Busse","Butwa",40,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,42,"IPIS - Ministère des Mines","IPIS - 2009","codmine00771","Calvaire","2009-01-01",1,,"0101000020E61000008E42ABF65D313C40925023C2F95B08C0",28.19284002,-3.04490997,"GPS","Sud-Kivu","Sud-Kivu","Mwenga","Wamuzimu","Buse","Kalingi",52,,,0,1,"Or",,,,,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,43,"IPIS - Ministère des Mines","IPIS - 2009","codmine00774","Zombe","2009-01-01",1,,"0101000020E61000007C2890DC85863C40886A3D6B674B09C0",28.525480065531596,-3.1618183496587484,"GPS ","Sud-Kivu","Sud-Kivu","Mwenga","Basile","Bashimwenda I","Nzombe",300,,,1,0,"Cassitérite",,,"Coltan",,,,,,,1,,"FDLR","Groupe armé étranger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,44,"IPIS - Ministère des Mines","IPIS - 2009","codmine00791","Kagolomba","2009-01-01",1,,"0101000020E61000006E6F92BD88EF3B40B2B349B7E3A806C0",27.93568024468498,-2.8324655837409063,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Bakisi","Baliga","Tchatabu",50,,,0,1,"Or",,,,,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,"FDLR","Groupe armé étranger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,45,"IPIS - Ministère des Mines","IPIS - 2009","codmine00795","Kalekwa","2009-01-01",1,,"0101000020E6100000B2E5AC6B1BEB3B4045665F13D0B006C0",27.918387155257456,-2.836334372853147,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Bakisi","Baliga","Kalekwa",250,,,0,1,"Or",,,,,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,"FDLR","Groupe armé étranger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,46,"IPIS - Ministère des Mines","IPIS - 2009","codmine00811","Kabwaki","2009-01-01",1,,"0101000020E6100000EF5701BEDBD83B40321EA5129ED006C0",27.847103,-2.851864,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Bakisi","Baliga","Kamulila",200,,,0,1,"Or",,,,,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,"FDLR","Groupe armé étranger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,47,"IPIS - Ministère des Mines","IPIS - 2009","codmine00830","Tshamatembe","2009-01-01",1,,"0101000020E6100000467A51BB5F913C40200890A1632702C0",28.567867,-2.269233,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Kalima","Tshamatembe",30,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,48,"IPIS - Ministère des Mines","IPIS - 2009","codmine00838","Nyawarongo","2009-01-01",1,,"0101000020E61000006C412C3E44D03C40B26ED8087D5000C0",28.813541303448275,-2.0393009844827583,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Mbinga Sud","Nyawaronga",350,,,0,1,"Or",,,,,,,,,,1,,"FDLR","Groupe armé étranger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,49,"IPIS - Ministère des Mines","IPIS - 2009","codmine00848","Biriki","2009-01-01",1,,"0101000020E61000002B306475ABE73C40293FA9F6E978FCBF",28.90496,-1.77952,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Buzi","Numbi",42,,,1,0,"Cassitérite",,,,,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,50,"IPIS - Ministère des Mines","IPIS - 2009","codmine00850","Mungwe","2009-01-01",1,,"0101000020E61000001EF98381E7E63C4062105839B448FCBF",28.90197,-1.76775,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Buzi","Numbi",48,,,1,0,"Coltan",,,"Tourmaline",,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,51,"IPIS - Ministère des Mines","IPIS - 2009","codmine00858","Mbururu","2009-01-01",1,,"0101000020E610000048C49448A2E73C4004E78C28ED0DFEBF",28.90482,-1.8784,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Buzi","Nyanzi, Shanje",5,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,52,"IPIS - Ministère des Mines","IPIS - 2009","codmine00859","Kiboto","2009-01-01",1,,"0101000020E6100000BCE82B4833E63C403B8DB454DE0EFEBF",28.89922,-1.87863,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Buzi","Shanje",6,,,1,0,"Cassitérite",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,53,"IPIS - Ministère des Mines","IPIS - 2009","codmine00860","Kisima 1","2009-01-01",1,,"0101000020E6100000D105F52D73DA3C40F8C264AA60D4FDBF",28.85332,-1.86435,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Buzi","Shanje",16,,,0,1,"Or",,,,,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,54,"IPIS - Ministère des Mines","IPIS - 2009","codmine00861","Kisima 2","2009-01-01",1,,"0101000020E6100000B3EF8AE07FDB3C4077D66EBBD0DCFDBF",28.85742,-1.86641,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Ziralo","Shanje, Kusisa",46,,,0,1,"Or",,,,,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,55,"IPIS - Ministère des Mines","IPIS - 2009","codmine00862","Birumbu","2009-01-01",1,,"0101000020E61000004D158C4AEADC3C40F5A10BEA5BE6FDBF",28.86295,-1.86874,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Ziralo","Shanje, Kusisa",63,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,56,"IPIS - Ministère des Mines","IPIS - 2009","codmine00864","Bihovu","2009-01-01",1,,"0101000020E610000064AF777FBCCF3C40CEFFD5E95361FDBF",28.81147,-1.8362616667,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Ziralo","Nyarugusha, Gali",49,,,1,0,"Cassitérite",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,57,"IPIS - Ministère des Mines","IPIS - 2009","codmine00868","Fangere","2009-01-01",1,,"0101000020E61000005DC7047F3AD83C40F122F59C8FF0FDBF",28.844642580668154,-1.871230710139738,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Ziralo","Fwangere, Gali",87,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
