"vid","cid","id","source","project","pcode","name","visit_date","visit_onsite","visit_onsite_novisitreason","geom","longitude","latitude","location_origin","province","province_old","territoire","collectivite","groupement","village","workers_numb","access_dry","access_wet","is_3t_mine","is_gold_mine","mineral1","selling_points_mineral1","final_destination_mineral1","mineral2","selling_points_mineral2","final_destination_mineral2","mineral3","selling_points_mineral3","final_destination_mineral3","mercury","presence","interference","armed_group1","type_armed_group1","frequency_armed_group1","taxation_armed_group1","commerce_taxation_armed_group1","entrance_taxation_armed_group1","monopoly_armed_group1","buying_minerals_armed_group1","digging_armed_group1","forced_labour_armed_group1","pillaging_armed_group1","pit_ownership_armed_group1","armed_group2","type_armed_group2","frequency_armed_group2","taxation_armed_group2","commerce_taxation_armed_group2","entrance_taxation_armed_group2","monopoly_armed_group2","buying_minerals_armed_group2","digging_armed_group2","forced_labour_armed_group2","pillaging_armed_group2","pit_ownership_armed_group2","armed_group3","type_armed_group3","frequency_armed_group3","taxation_armed_group3","commerce_taxation_armed_group3","entrance_taxation_armed_group3","monopoly_armed_group3","buying_minerals_armed_group3","digging_armed_group3","forced_labour_armed_group3","pillaging_armed_group3","pit_ownership_armed_group3","mechanisation","state_service1","state_service2","state_service3","state_service4","traceability","qualification","childunder15","childunder15work","women","womenwork"
6503,4896,711,"IPIS","IPIS - Madini","codmine00868","Fangere","2022-09-15",1,,"0101000020E61000005DC7047F3AD83C40F122F59C8FF0FDBF",28.844642580668154,-1.871230710139738,"GPS","Sud-Kivu","Sud-Kivu","Kalehe","Buhavu","Ziralo","Fwangere, Gali",44,"carmoto","carmoto",0,1,"Or","Shanje","Bukavu",,,,,,,"0",1,1,"Police des Mines (PMH)","PMH - Éléments indisciplinés","Aléatoire","1",0,0,"0","0","0","0","0","0",,"Aucun",,,,,,,,,,,,"Aucun",,,,,,"0",,,,,"Moyen","SAESSCAM","Division des mines",,,,,0,,0,
6504,4897,712,"IPIS","IPIS - Madini","codmine02156","Kamikuba","2022-09-15",1,,"0101000020E6100000A5A86ABCB9613B4083D90942125203C0",27.38174035648321,-2.4150738868003727,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Bakisi","Bamuguba nord","Katshungu",97,"less2h","less2h",0,1,"Or","Katchungu","Bukavu",,,,,,,"0",0,0,,"Aucun",,,,,,,,,,,,"Aucun",,,,,,,,,,,,"Aucun",,,,,,"0",,,,,"Moyen","SAESSCAM","Division des mines","Chefferie",,,,1,"Creuser, Lavage",0,
6505,4898,713,"IPIS","IPIS - Madini","codmine03688","Nizi 4","2022-09-15",1,,"0101000020E6100000B22E6EA3014C3E408195438B6CE7FB3F",30.2969,1.744,"GPS","Ituri","Orientale","Djugu","Bahema-Baguru","Lingo","Tsutsubha",286,"carmoto","carmoto",0,1,"Or","Iga Barrière","Bunia",,,,,,,"1",1,1,"Jeunesse Autodéfense Zaïre","Groupe armé local","Quotidien","0",0,0,"0","0","1","0","0","0",,"Aucun",,,,,,,,,,,,"Aucun",,,,,,"0",,,,,"Haut",,,,,,,1,"Creuser, Lavage, Transport des minerais",1,"Creuser, Lavage, Transport des minerais, Ramasser des pierres à surface pour le broyage"
6506,4899,821,"IPIS","IPIS - USAID","codmine04164","Kalay","2022-09-15",1,,"0101000020E61000008451FF0F66BF3B40D1459E7F168606C0",27.7476511,-2.8154726,"GPS","Sud-Kivu",,"Shabunda","Bakisi","Baliga","Baziba, Nsele1 et Nsele3",400,"more2h","more2h",0,1,"Or","Shabunda Centre , KALAY  et kamulila.","Bukavu, Goma",,,,,,,"1",1,1,"FARDC","FARDC - Éléments indisciplinés","Quotidien","1",1,,"1","1","0","0","0","0","Police Nationale Congolaise (sauf PMH)","PNC - Éléments indisciplinés","Aléatoire","1",0,,"0","0","0","0","0","0",,"Aucun",,,,,,,,,,,"Haut","SAESSCAM","Division des mines","Chefferie","Anti-fraude",,,0,,0,
6507,4900,823,"IPIS","IPIS - USAID","codmine04166","Kigela/Kaziba","2022-09-15",0,"Manque de pirogue pour traverser la rivière Ulindi","0101000020E61000000AD9791B9BBF3B403210BA3AB68406C0",27.7484605,-2.8148007,"Approximation","Sud-Kivu",,"Shabunda","Bakisi","Baliga","Nsele, Kalay et Kusasa",250,"more2h","more2h",0,1,"Or","Shabunda centre, kalay et kigela","Bukavu, Goma",,,,,,,"1",1,1,"FARDC","FARDC - Éléments indisciplinés","Plus d'une fois par semaine","1",1,,"1","0","0","0","0","0","Police Nationale Congolaise (sauf PMH)","PNC - Éléments indisciplinés","Aléatoire","1",1,,"0","0","0","0","0","0",,"Aucun",,,,,,,,,,,"Haut",,,,,,,1,"Creuser, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure",0,
6508,4901,714,"IPIS","IPIS - Madini","codmine00073","Mandulu","2022-09-16",1,,"0101000020E610000034A2432E02F53C408375A7738ADDF33F",28.95706452513896,1.241587116025898,"GPS","Ituri","Orientale","Mambasa","Mambasa","Nyangwe","Binase, Kilima Mweza",9,"less2h","less2h",0,1,"Or","Kilima Mweza","Bunia",,,,,,,"0",0,0,,"Aucun",,,,,,,,,,,,"Aucun",,,,,,,,,,,,"Aucun",,,,,,"0",,,,,"Moyen",,,,,,,0,,0,
6509,4902,715,"IPIS","IPIS - Madini","codmine02201","Kisasa","2022-09-16",0,"Distance","0101000020E6100000DDC2D4BF017E3B40A2288960214E02C0",27.492214192813538,-2.2881495992524643,"GPS","Sud-Kivu","Sud-Kivu","Shabunda","Bakisi","Bamuguba nord","Mintonko",26,"less2h","less2h",1,0,"Cassitérite","Tchonka ","Bukavu",,,,,,,,1,1,"FARDC","FARDC - Éléments indisciplinés","Une fois par mois","1",0,0,"0","0","0","0","0","0",,"Aucun",,,,,,,,,,,,"Aucun",,,,,,"0",,,,,"Bas","Division des mines","Chefferie",,,"iTSCI",,1,"Lavage, Traiter les déchets",0,
6510,4903,716,"IPIS","IPIS - Madini","codmine03699","Pamakele","2022-09-16",1,,"0101000020E6100000E9B382F172F53C40C04B01E71FAAF33F",28.958785147104127,1.2290343307147253,"GPS","Ituri","Orientale","Mambasa","Babila-Babombi","Bapungomo","Binase",53,"less2h","less2h",0,1,"Or","Kilima Mweza","Bunia, Butembo",,,,,,,"1",1,0,"FARDC","FARDC - Pas d’ingérence constatée","Aléatoire","0",0,0,"0","0","0","0","0","0",,"Aucun",,,,,,,,,,,,"Aucun",,,,,,"0",,,,,"Haut","SAESSCAM","Division des mines","DGRPI",,,,0,,0,
6511,4904,717,"IPIS","IPIS - Madini","codmine03700","Funga Mukaba","2022-09-16",1,,"0101000020E6100000959F54FB74F43C40CAA65CE15DAEF33F",28.95491,1.23007,"GPS","Ituri","Orientale","Mambasa","Babila-Babombi","Bapungomo","Binase",20,"carmoto","less2h",0,1,"Or","Kilima Mweza","Bunia",,,,,,,"0",1,0,"FARDC","FARDC - Pas d’ingérence constatée","Une fois tous les 15 jours","0",0,0,"0","0","0","0","0","0",,"Aucun",,,,,,,,,,,,"Aucun",,,,,,"0",,,,,"Bas",,,,,,,0,,0,
6512,4905,718,"IPIS","IPIS - Madini","codmine03747","Baragumu","2022-09-16",1,,"0101000020E6100000211FF46C564D3E40C7BAB88D06F0FB3F",30.3021,1.7461,"GPS","Ituri","Orientale","Djugu","Bahema-Baguru","Lingo","Pengetsu, Tsutsuba",180,"carmoto","carmoto",0,1,"Or","Iga Barrière","Bunia",,,,,,,"1",0,0,,"Aucun",,,,,,,,,,,,"Aucun",,,,,,,,,,,,"Aucun",,,,,,"0",,,,,"Haut",,,,,,,1,"Creuser, Lavage, Transport des minerais",1,"Creuser, Lavage, Transport des minerais, Ramasser des pierres à la surface pour le broyage"
