"vid","id","source","project","pcode","name","visit_date","visit","novisit_reason","geom","longitude","latitude","location_origin","prefecture","sousprefecture","commune","village","chantiers_numb","workers_numb","workers_women","workers_women_work_type","childunder15","childunder15_work_type","minerals","minerals_diamant","minerals_or","minerals_autre","production_destination","services1_name","services1_frequency","services2_name","services2_frequency","services3_name","services3_frequency","actor_type","actor1name","actor1name_frequency","actor1name_tax","actor1name_pillage","actor1name_forcedlabour","actor1name_buyminerals","actor1name_digging","actor1name_monopoly","actor2name","actor2name_frequency","actor2name_tax","actor2name_pillage","actor2name_forcedlabour","actor2name_buyminerals","actor2name_digging","actor2name_monopoly","actor3name","actor3name_frequency","actor3name_tax","actor3name_pillage","actor3name_forcedlabour","actor3name_buyminerals","actor3name_digging","actor3name_monopoly","roadblocks","roadblocks_actor","environment_water_change","environment_deforestation","conflict_category","conflict_type","accident_injured","accident_dead"
721,205,"IPIS","IPIS - Covid19 2020","cafmine00199","Ngbabéré 1","2020-10-29",0,"Appel telephonique - Covid19","0101000020E61000008C43E6DB95A02D4095C52BEE52BD1640",14.8136433333,5.6848866667,"GPS","Nana-Mambéré","Baboua","Baboua","Yezo",,25,7,,8,,"Or",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,227,"IPIS","IPIS - Covid19 2020","cafmine00235","Yoho Nana","2020-10-29",0,"Appel telephonique - Covid19","0101000020E6100000D044D8F0F42A314077E98D38777E1840",17.1678,6.1235016667,"GPS","Ouham","Bossangoa","Koro-M'poko","Ndo Kete",,10,0,,0,,"Or",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,34,"IPIS","IPIS - Covid19 2020","cafmine00239","Pays2","2020-10-29",0,"Appel telephonique - Covid19","0101000020E6100000CEEAF513BBB7314087B55F1C6FC51A40",17.7176983333,6.6928066667,"GPS","Ouham","Bossangoa","Ben Zambé","Boulakaba",,50,12,,4,,"Or",0,1,0,,,,,,,,"autodefense","Anti-balaka","permanent",0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
724,233,"IPIS","IPIS - Covid19 2020","cafmine00246","Bekombo","2020-10-29",0,"Appel telephonique - Covid19","0101000020E61000008328487D6CAD2D40AEBB79AA43EE1740",14.8387183333,5.98268,"GPS","Nana-Mambéré","Baboua","Baboua","Sodea",,20,3,,6,,"Or",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,235,"IPIS","IPIS - Covid19 2020","cafmine00248","Gokopondo","2020-10-29",0,"Appel telephonique - Covid19","0101000020E610000004E088FF4E4D2D402C3A2BC410361740",14.6509933333,5.8027983333,"GPS","Nana-Mambéré","Baboua","Baboua","Deba",,21,6,,9,,"Or",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,118,"IPIS","IPIS - Covid19 2020","cafmine00261","Dapè","2020-10-29",0,"Appel telephonique - Covid19","0101000020E6100000E776464AA0EE2E404B6864B2A5641440",15.4660666667,5.0982883333,"GPS","Nana-Mambéré","Abba","Nadziboro","Gbadian",,150,10,,10,,"Diamant",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,115,"IPIS","IPIS - Covid19 2020","cafmine00262","Kolongo","2020-10-29",0,"Appel telephonique - Covid19","0101000020E610000032772D211FFC2E40E7B8EC32E93C1440",15.492425,5.0594833333,"GPS","Nana-Mambéré","Abba","Nadziboro","Bouli",,50,5,,0,,"Diamant",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,238,"IPIS","IPIS - Covid19 2020","cafmine00263","Mambere Carrière","2020-10-29",0,"Appel telephonique - Covid19","0101000020E610000001C820661CF82E40B19915AC5E5B1440",15.4845916667,5.0892283333,"GPS","Nana-Mambéré","Abba","Nadziboro","Gbadian",,100,20,,0,,"Diamant",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,39,"IPIS","IPIS - Covid19 2020","cafmine00290","Nakeko","2020-10-29",0,"Appel telephonique - Covid19","0101000020E6100000DD5ED218AD832E40C0DE96EAEFB21440",15.25718,5.1747433333,"GPS","Nana-Mambéré","Abba","Abba","Abba",,400,150,,80,,"Or",0,1,0,,,,,,,,"autodefense","Anti-balaka","permanent",0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
730,257,"IPIS","IPIS - Covid19 2020","cafmine00316","Sabia","2020-10-29",0,"Appel telephonique - Covid19","0101000020E6100000EFC2BF190F792D4059DDEA39E9ED1540",14.7364433333,5.482335,"GPS","Nana-Mambéré","Baboua","Baboua","Ndongori",,42,8,,12,,"Or",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
