"vid","id","source","project","pcode","name","visit_date","visit","novisit_reason","geom","longitude","latitude","location_origin","prefecture","sousprefecture","commune","village","chantiers_numb","workers_numb","workers_women","workers_women_work_type","childunder15","childunder15_work_type","minerals","minerals_diamant","minerals_or","minerals_autre","production_destination","services1_name","services1_frequency","services2_name","services2_frequency","services3_name","services3_frequency","actor_type","actor1name","actor1name_frequency","actor1name_tax","actor1name_pillage","actor1name_forcedlabour","actor1name_buyminerals","actor1name_digging","actor1name_monopoly","actor2name","actor2name_frequency","actor2name_tax","actor2name_pillage","actor2name_forcedlabour","actor2name_buyminerals","actor2name_digging","actor2name_monopoly","actor3name","actor3name_frequency","actor3name_tax","actor3name_pillage","actor3name_forcedlabour","actor3name_buyminerals","actor3name_digging","actor3name_monopoly","roadblocks","roadblocks_actor","environment_water_change","environment_deforestation","conflict_category","conflict_type","accident_injured","accident_dead"
1,15,"IPIS","IPIS - TetraTech 2019","cafmine00015","Pouadoungbe","2019-03-28",1,,"0101000020E6100000FC819A358BD6314019C9B34E82A40E40",17.8380616667,3.8303266667,"GPS","Lobaye","Mbaïki","Moboma","Ndolobo",3,250,0,,20,"Concasser, Laver, Traiter","Or",0,1,0,"Bagandou, Dubaï",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension chauffage",,,0,0
2,1,"IPIS","IPIS - TetraTech 2019","cafmine00001","Adouzekede","2019-04-22",1,,"0101000020E61000002E573F36C977314054C90050C52D1340",17.467914,4.794698,"Approximation","Ombella-M'Poko","Bossembélé","La Mbi","Lambi",3,30,5,"Creuser, Creuser sous terre, Laver",0,,"Diamant, Or",1,1,0,"Bossembélé, Bouar, Cameroun, Bangui","Gendarmerie","aleatoire","Autorités locales ou coutumières","aleatoire",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"etayement extension chauffage","Conflit lié à l’exploitation artisanale","Conflits de limites, Litige de propriété entre chantiers sur le même site",1,0
3,16,"IPIS","IPIS - TetraTech 2019","cafmine00016","Nkongue","2019-04-22",1,,"0101000020E6100000BC6922474DD63140B2D7BB3FDEAB0E40",17.8371166667,3.83392,"GPS","Lobaye","Mbaïki","Moboma","Ndolobo",3,150,0,,16,"Concasser, Laver, Traiter","Or",0,1,0,"Ndolobo, Bagandou",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,0,0
4,2,"IPIS","IPIS - TetraTech 2019","cafmine00002","Adouzekede","2019-04-23",1,,"0101000020E6100000492EFF21FD7631408A05BEA25B2F1340",17.4648,4.796248,"Approximation","Ombella-M'Poko","Bossembélé","La Mbi","Lambi Pont",2,51,10,"Creuser, Creuser sous terre, Laver, Traiter",19,"Laver, Traiter","Diamant, Or",1,1,0,"Bangui, Boda, Yaloké","Autorités locales ou coutumières","aleatoire","Gendarmerie","aleatoire",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"etayement extension chauffage",,,1,0
5,3,"IPIS","IPIS - TetraTech 2019","cafmine00003","Ngom-Mbata","2019-04-23",1,,"0101000020E6100000E2F40684C3803140423EE8D9AC0A1340",17.5029833333,4.760425,"GPS","Ombella-M'Poko","Bossembélé","La Mbi","Lambi",1,3,0,,0,,"Or",0,1,0,"Yaloké",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"etayement extension chauffage","Conflit lié à l’exploitation artisanale, Conflit avec des sociétés minières","Conflits de limites, Litige de propriété du site avec d'autres activités, Conflits entre propriétaires et exploitants, Avec la société minière socarem qui veut s'accaparer du site sans autorisation et applications fiables aux propriétaires des chantiers sur la nature de leurs activités, nous pensons qu'un conflit sera inévitable qui va impacter sur la production de ces derniers temps dans la localité.",0,0
6,4,"IPIS","IPIS - TetraTech 2019","cafmine00004","Drol","2019-04-23",1,,"0101000020E6100000B54E5C8E57843140DFA5D425E3E81240",17.516961,4.727429,"Approximation","Ombella-M'Poko","Bossembélé","La Mbi","Lambi",2,52,0,,9,"Creuser, Laver, Traiter","Diamant, Or, Carbone",1,1,1,"Lamba, Bangui",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,0,"extension chauffage",,,0,0
7,5,"IPIS","IPIS - TetraTech 2019","cafmine00005","Drol","2019-04-23",1,,"0101000020E6100000492EFF21FD7631408A05BEA25B2F1340",17.4648,4.796248,"Approximation","Ombella-M'Poko","Bossembélé","La Mbi","Lambi",2,32,0,,5,"Autres activités","Or",0,1,0,"Boda, Yaloké",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,0,"etayement extension chauffage",,,0,0
8,9,"IPIS","IPIS - TetraTech 2019","cafmine00009","Ndemou","2019-04-23",1,,"0101000020E6100000CEC133A149622F40A8E3310395511B40",15.691968,6.82967,"Approximation","Ouham-Pendé","Bocaranga","Péndé","Boléré",4,100,60,"Concasser, Laver, Transporter",10,"Concasser, Laver, Transporter","Or",0,1,0,"Bozoum, Garoua Boulaï, Mbai Mboum, Nigeria","Services de santé","trois_mois","Administration des mines","aleatoire",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension chauffage etayement","Conflit lié à l’exploitation artisanale, Conflit avec des acteurs extérieurs au site","Conflits de limites, Conflits avec agriculteurs, Conflits avec des groupes armés non-étatiques",0,0
9,17,"IPIS","IPIS - TetraTech 2019","cafmine00017","Mengui 2","2019-04-23",1,,"0101000020E61000001D774A07EBCB31407540A7A309E10E40",17.796555,3.8598816667,"GPS","Lobaye","Mbaïki","Bogongo Gaza","Mengui",1,70,0,,6,"Creuser, Concasser, Laver, Transporter, Traiter","Or",0,1,0,"Ndolobo, Mbaïki, Bangui",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,0,"extension",,,0,0
10,18,"IPIS","IPIS - TetraTech 2019","cafmine00018","Mengui 1","2019-04-23",1,,"0101000020E610000091FFF1398ACE31402C61D8DE81B40E40",17.8067966667,3.8381383333,"GPS","Lobaye","Mbaïki","Bogongo Gaza","Mengui",4,120,0,,30,"Concasser, Laver, Traiter","Or",0,1,0,"Ndolobo, Mbaïki, Bangui, Congo",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension chauffage",,,0,0
11,22,"IPIS","IPIS - TetraTech 2019","cafmine00022","Gamme Senguèmon","2019-04-23",1,,"0101000020E61000000AF4893C49FE3040096372487D1C1640",16.993305,5.5278216667,"GPS","Ombella-M'Poko","Yaloké","Guézéli","Gaga",27,900,200,"Creuser, Concasser, Laver, Transporter, Traiter",90,"Concasser, Laver, Transporter","Or",0,1,0,"Garoua Boulaï, Bangui","Administration des mines","aleatoire","Brigade minière (USAF)","aleatoire",,,"etatique","FACA",,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension etayement",,,0,0
12,23,"IPIS","IPIS - TetraTech 2019","cafmine00023","Yongoro-Nguiza","2019-04-23",1,,"0101000020E61000007CE73F7FB4FA30408AB9D21068131640",16.9793166667,5.5189516667,"GPS","Ombella-M'Poko","Yaloké","Guézéli","Yongoro-Nguiza",10,300,50,"Creuser, Concasser, Laver, Transporter, Traiter",40,"Creuser, Concasser, Laver, Transporter","Or",0,1,0,"Bangui, Garoua Boulaï","Brigade minière (USAF)","aleatoire",,,,,"etatique","FACA",,,,,,,,,,,,,,,,,,,,,,,,0,,1,"etayement extension",,,0,0
13,24,"IPIS","IPIS - TetraTech 2019","cafmine00024","Gamme-Carrière","2019-04-23",1,,"0101000020E61000009C5BF951FAF330400B5EF415A4091640",16.9530383333,5.509415,"GPS","Ombella-M'Poko","Yaloké","Guézéli","Carrière",150,450,100,"Creuser, Concasser, Laver, Transporter, Traiter",10,"Creuser, Concasser, Laver, Transporter","Or",0,1,0,"Garoua Boulaï, Bouar, Bangui","Administration des mines","aleatoire",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,0,"etayement extension",,,0,0
14,25,"IPIS","IPIS - TetraTech 2019","cafmine00025","Gamme-Yofo","2019-04-23",1,,"0101000020E6100000AE122C0E67FA30403468E89FE0021640",16.978135,5.50281,"GPS","Ombella-M'Poko","Yaloké","Guézéli","Yofo",25,650,100,"Concasser, Laver, Transporter, Traiter",30,"Creuser, Concasser, Laver, Transporter","Or",0,1,0,"Bangui","Autorités locales ou coutumières","aleatoire",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"etayement extension",,,0,0
15,51,"IPIS","IPIS - TetraTech 2019","cafmine00051","Pama-Drol","2019-04-23",1,,"0101000020E6100000267156444D8431404B5645B8C9E81240",17.516804,4.727332,"Approximation","Ombella-M'Poko","Bossembélé","La Mbi","Lambi",2,38,3,"Laver",3,"Laver, Autres activités","Diamant",1,0,0,"Bossembélé, Yaloké, Boda, Bangui",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension chauffage",,,0,0
16,84,"IPIS","IPIS - TetraTech 2019","cafmine00084","Garo","2019-04-23",1,,"0101000020E610000044317903CC7030402E56D4601AE61940",16.440613,6.47471,"Approximation","Ouham-Pendé","Bozoum","Dan-Gbabiri","Garo",6,215,100,"Creuser sous terre, Laver, Transporter, Traiter",52,"Laver, Transporter, Traiter","Or",0,1,0,"Bozoum","Brigade minière (USAF)","aleatoire","Services de santé","aleatoire",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"chauffage extension etayement",,,2,1
17,85,"IPIS","IPIS - TetraTech 2019","cafmine00085","Gouroum","2019-04-23",1,,"0101000020E6100000F9DB9E20B17530403C6C223317E81940",16.459734,6.476651,"Approximation","Ouham-Pendé","Bozoum","Dan-Gbabiri","Garo",7,80,40,"Creuser, Laver, Transporter, Traiter",22,"Laver, Transporter, Traiter","Or",0,1,0,"Bozoum, Garoua Boulaï, Mbai Mboum","Brigade minière (USAF)","aleatoire","Services de santé","aleatoire",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension chauffage etayement",,,0,1
18,6,"IPIS","IPIS - TetraTech 2019","cafmine00006","Yom","2019-04-24",1,,"0101000020E6100000F8593D4CE8973140E7D4FCD6614F1340",17.5933883333,4.8275216667,"GPS","Ombella-M'Poko","Bossembélé","La Mbi","Bocan2",2,12,1,"Creuser sous terre, Laver, Traiter",0,,"Diamant",1,0,0,"Boda, Yaloké",,,,,,,"autodefense","Anti-balaka",,,,,,,,,,,,,,,,,,,,,,,,0,,0,"etayement extension",,,0,0
19,7,"IPIS","IPIS - TetraTech 2019","cafmine00007","Yalicom","2019-04-24",1,,"0101000020E610000075A076D3409631402BD9B11188471340",17.5869266667,4.819855,"GPS","Ombella-M'Poko","Bossembélé","La Mbi","Bocan2",1,20,1,"Creuser, Creuser sous terre, Laver, Traiter",6,"Laver, Traiter","Diamant",1,0,0,"Boda, Yaloké, Boali, Bangui",,,,,,,"autodefense","Anti-balaka",,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension etayement",,,0,0
20,10,"IPIS","IPIS - TetraTech 2019","cafmine00010","Moundji 1","2019-04-24",1,,"0101000020E61000000611A96917732F40B491EBA694271B40",15.724788,6.788653,"Approximation","Ouham-Pendé","Bocaranga","Péndé","Boléré",6,800,250,"Laver, Transporter",50,"Creuser, Laver, Transporter","Or",0,1,0,"Tchad, Cameroun 2",,,,,,,"groupe_arme","3R","aleatoire",0,0,,0,,0,,,,,,,,,,,,,,,,,0,,1,"extension etayement","Conflit lié à l’exploitation artisanale, Conflit avec des acteurs extérieurs au site","Conflits de limites, Conflits avec éleveurs, Conflits avec des groupes armés non-étatiques",0,0
21,11,"IPIS","IPIS - TetraTech 2019","cafmine00011","Sadou","2019-04-24",1,,"0101000020E61000008A8EE4F21F622F40153AAFB14B341B40",15.69165,6.80107,"Approximation","Ouham-Pendé","Bocaranga","Péndé","Boléré",7,400,150,"Creuser, Laver, Transporter",50,"Creuser, Laver, Transporter","Or",0,1,0,"Cameroun 2, Tchad",,,,,,,"groupe_arme","3R","aleatoire",0,1,,0,,0,,,,,,,,,,,,,,,,,0,,1,"extension etayement",,,0,0
22,12,"IPIS","IPIS - TetraTech 2019","cafmine00012","Kangabé","2019-04-24",1,,"0101000020E6100000B9FAB1497E5C2F409BA9108FC43B1B40",15.680651,6.808367,"Approximation","Ouham-Pendé","Bocaranga","Péndé","Moundji",4,500,250,"Laver, Transporter",20,"Laver, Transporter","Or",0,1,0,"Tchad, Cameroun 2",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"etayement extension chauffage",,,0,0
23,19,"IPIS","IPIS - TetraTech 2019","cafmine00019","Ouana-Sego","2019-04-24",1,,"0101000020E6100000EEFD353478CA31407F88786832560E40",17.7908966667,3.7920883333,"GPS","Lobaye","Mbaïki","Bogongo Gaza","Mengui",3,60,0,,10,"Laver, Traiter","Or",0,1,0,"Bagandou, Bangui",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension chauffage",,,0,0
24,26,"IPIS","IPIS - TetraTech 2019","cafmine00026","Cflt Gamme-Datoli","2019-04-24",1,,"0101000020E6100000EE54E8979B023140E952F54D871B1640",17.0101866667,5.5268833333,"GPS","Ombella-M'Poko","Yaloké","Guézéli","Gaga",36,700,100,"Creuser, Concasser, Laver, Transporter, Traiter",200,"Creuser, Concasser, Laver, Traiter","Or",0,1,0,"Gaga, Yaloké","Administration des mines","aleatoire","Brigade minière (USAF)","aleatoire",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"etayement extension",,,10,0
25,27,"IPIS","IPIS - TetraTech 2019","cafmine00027","Gamme 5 Kilo","2019-04-24",1,,"0101000020E6100000EBAD81AD12043140FCFB8C0B07221640",17.01591,5.53323,"GPS","Ombella-M'Poko","Yaloké","Guézéli","5kilos",20,300,200,"Creuser, Concasser, Laver, Transporter, Traiter",40,"Creuser, Concasser, Laver, Transporter, Traiter","Or",0,1,0,"Gaga, Yaloké",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"etayement extension",,,1,0
26,28,"IPIS","IPIS - TetraTech 2019","cafmine00028","Ban","2019-04-24",1,,"0101000020E610000015EE6D1FDF073140B753A15F6E3A1640",17.0307483333,5.5570616667,"GPS","Ombella-M'Poko","Yaloké","Guézéli","Ban",120,3000,1000,"Creuser, Concasser, Laver, Transporter, Traiter",250,"Creuser, Concasser, Laver, Transporter, Traiter","Or",0,1,0,"Yaloké",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"etayement extension",,,0,0
27,29,"IPIS","IPIS - TetraTech 2019","cafmine00029","Site De Ban-Kalyé","2019-04-24",1,,"0101000020E6100000EDE37995A2123140F26CBD841D791640",17.0727933333,5.6182766667,"GPS","Ombella-M'Poko","Yaloké","Yaloké","Kalyé",35,1300,400,"Creuser, Concasser, Laver, Transporter, Traiter",300,"Creuser, Laver, Transporter, Traiter","Or",0,1,0,"Garoua Boulaï",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"etayement extension",,,3,0
28,86,"IPIS","IPIS - TetraTech 2019","cafmine00086","Gan","2019-04-24",1,,"0101000020E6100000CA15DEE5226E3040E3C798BB96D01940",16.43022,6.4537,"Approximation","Ouham-Pendé","Bozoum","Dan-Gbabiri","Rota",2,26,7,"Creuser, Creuser sous terre, Laver, Transporter, Traiter",12,"Creuser, Laver, Transporter, Traiter","Or",0,1,0,"Bozoum","Brigade minière (USAF)","aleatoire",,,,,"etatique","FACA",,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension chauffage",,,0,0
29,87,"IPIS","IPIS - TetraTech 2019","cafmine00087","Gbonkolo","2019-04-24",1,,"0101000020E61000001DE90C8CBC6830405BB1BFEC9E9C1940",16.409127,6.40295,"Approximation","Ouham-Pendé","Bozoum","Bozoum","Kosso",1,250,120,"Concasser, Laver, Transporter, Traiter",60,"Concasser, Laver, Transporter, Traiter","Or",0,1,0,"Bozoum, Mbai Mboum, Garoua Boulaï","Administration des mines","aleatoire","Brigade minière (USAF)","trois_mois","Services de santé","aleatoire","etatique","FACA",,,,,,,,,,,,,,,,,,,,,,,,0,,1,"chauffage extension","Conflit lié à l’exploitation artisanale","Conflits de limites, Conflits lié au vol, Conflits concernant le partage des gains, Conflits entre propriétaires et exploitants",0,0
30,102,"IPIS","IPIS - TetraTech 2019","cafmine00102","Sagna","2019-04-24",1,,"0101000020E610000069739CDB846B3040A9C1340C1FC11940",16.419996,6.438595,"Approximation","Ouham-Pendé","Bozoum","Dan-Gbabiri","Gongo",2,100,55,"Concasser, Laver, Transporter, Traiter",20,"Concasser, Laver, Transporter, Traiter","Or",0,1,0,"Bozoum","Brigade minière (USAF)","aleatoire","Services de santé","aleatoire","Administration des mines","aleatoire","0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"etayement extension chauffage",,,3,0
31,103,"IPIS","IPIS - TetraTech 2019","cafmine00103","Rota","2019-04-24",1,,"0101000020E61000000C04013274703040BC5D2F4D11C01940",16.439273,6.437566,"Approximation","Ouham-Pendé","Bozoum","Dan-Gbabiri","Rota",2,100,50,"Creuser, Laver, Transporter, Traiter",30,"Creuser, Laver, Transporter, Traiter","Or",0,1,0,"Bozoum, Garoua Boulaï, Mbai Mboum",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension chauffage","Conflit lié à l’exploitation artisanale","Conflits lié au vol, Conflits concernant le partage des gains",0,0
32,8,"IPIS","IPIS - TetraTech 2019","cafmine00008","Pama-Drol","2019-04-25",1,,"0101000020E6100000B54E5C8E57843140DFA5D425E3E81240",17.516961,4.727429,"Approximation","Ombella-M'Poko","Bossembélé","La Mbi","Lambi",1,63,15,"Creuser, Transporter, Autres activités",8,"Creuser, Laver, Autres activités","Diamant, Or",1,1,0,"Boda, Yaloké, Boali, Bangui",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension etayement chauffage",,,0,0
33,13,"IPIS","IPIS - TetraTech 2019","cafmine00013","Nahaton","2019-04-25",1,,"0101000020E6100000B760A92EE0552F408351499D80461B40",15.667726,6.81885,"Approximation","Ouham-Pendé","Bocaranga","Bocaranga","Boléré",3,300,175,"Creuser, Concasser, Laver, Transporter",20,"Laver, Transporter","Or",0,1,0,"Tchad, Cameroun 2, Nigeria","Services de santé","permanent","Gendarmerie","aleatoire","Administration des mines","an","groupe_arme","3R","semaine",0,0,,0,,0,,,,,,,,,,,,,,,,,0,,1,"extension etayement chauffage","Conflit lié à l’exploitation artisanale, Conflit avec des acteurs extérieurs au site","Conflits de limites, Conflits avec des groupes armés non-étatiques",0,7
34,14,"IPIS","IPIS - TetraTech 2019","cafmine00014","Moundji Centre","2019-04-25",1,,"0101000020E610000063B83A00E2562F402EC901BB9A3C1B40",15.669693,6.809184,"Approximation","Ouham-Pendé","Bocaranga","Bocaranga","Boléré",4,1500,700,"Laver, Transporter",50,"Laver, Transporter","Or",0,1,0,"Tchad, Cameroun 2, Nigeria","Autorités locales ou coutumières","aleatoire","Services de santé","trois_mois",,,"groupe_arme","3R","permanent",0,1,,,,0,"Rebelles Tchadiens","permanent",1,,,1,,,,,,,,,,,0,,1,"etayement extension chauffage","Conflit lié à l’exploitation artisanale, Conflit avec des acteurs extérieurs au site, Conflit avec des sociétés minières","Conflits de limites, Conflits lié au vol, Conflits avec agriculteurs, Litige de propriété du site avec d'autres activités, Conflits entre propriétaires et exploitants, Conflit entre assureurs et artisans, Conflits avec des groupes armés non-étatiques",2,1
35,20,"IPIS","IPIS - TetraTech 2019","cafmine00020","Mombondo","2019-04-25",1,,"0101000020E6100000A7F3B9FFB5D5314047E76767ABC50E40",17.8348083333,3.8465183333,"GPS","Lobaye","Mbaïki","Moboma","Ndolobo",4,150,0,,0,,"Or",0,1,0,"Bangui, Dubaï",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,0,0
36,21,"IPIS","IPIS - TetraTech 2019","cafmine00021","Mondakalaka.","2019-04-25",1,,"0101000020E6100000EC2FBB270FD7314040A309977B4E0E40",17.840075,3.7883216667,"GPS","Lobaye","Mbaïki","Moboma","Mondakalaka",3,300,0,,21,"Laver, Transporter","Or",0,1,0,"Bagandou, Bangui, Dubaï",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension chauffage",,,5,0
37,30,"IPIS","IPIS - TetraTech 2019","cafmine00030","Gamme-Garouaboulaye","2019-04-25",1,,"0101000020E6100000ED59FFC205F330406E047B6E8E001640",16.9493066667,5.5005433333,"GPS","Ombella-M'Poko","Yaloké","Guézéli","Garoua-Boulaye",80,1200,700,"Creuser, Laver, Transporter",200,"Creuser, Laver, Transporter","Or",0,1,0,"Gaga, Zawa, Bangui","Brigade minière (USAF)","aleatoire",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"etayement extension",,,20,0
38,31,"IPIS","IPIS - TetraTech 2019","cafmine00031","Senguéyéngué","2019-04-25",1,,"0101000020E6100000287E8CB96BF1304076B5AEF35C0C1640",16.94305,5.5120733333,"GPS","Ombella-M'Poko","Yaloké","Guézéli","Garoua-Boulaye",10,300,200,"Creuser, Laver, Transporter, Traiter",30,"Creuser, Laver, Transporter, Traiter","Or",0,1,0,"Gaga, Yaloké",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"etayement extension",,,30,2
39,32,"IPIS","IPIS - TetraTech 2019","cafmine00032","Gombo","2019-04-25",1,,"0101000020E61000007DAEB6627FF53040E223624A24211640",16.958975,5.532365,"GPS","Ombella-M'Poko","Yaloké","Guézéli","Carrière",6,120,80,"Laver, Transporter, Traiter",25,"Creuser, Laver, Transporter, Traiter","Or",0,1,0,"Gaga, Yaloké",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,6,1
40,33,"IPIS","IPIS - TetraTech 2019","cafmine00033","Zangbana","2019-04-25",0,"route","0101000020E61000006A87BF266BEC3040ECC039234A1B1640",16.92351,5.52665,"Approximation","Ombella-M'Poko","Yaloké","Guézéli","Carrière",7,150,90,"Laver, Transporter, Traiter",15,"Creuser, Laver, Transporter","Or",0,1,0,"Gaga, Yaloké",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,10,0
41,88,"IPIS","IPIS - TetraTech 2019","cafmine00088","Lao","2019-04-25",1,,"0101000020E61000004C50C3B7B0763040C3802557B1281A40",16.463634,6.539739,"Approximation","Ouham-Pendé","Bozoum","Dan-Gbabiri","Lao",3,120,60,"Creuser, Laver, Transporter, Traiter",30,"Laver, Transporter, Traiter","Or",0,1,0,"Bozoum","Services de santé","aleatoire",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"chauffage extension",,,0,0
42,89,"IPIS","IPIS - TetraTech 2019","cafmine00089","Dondengue","2019-04-25",1,,"0101000020E6100000D844662E70753040BB7B80EECB091A40",16.458743,6.509567,"Approximation","Ouham-Pendé","Bozoum","Dan-Gbabiri","Dondengue",3,220,120,"Creuser, Concasser, Laver, Transporter, Traiter",25,"Creuser, Concasser, Laver, Transporter, Traiter","Or",0,1,0,"Bozoum, Garoua Boulaï","Brigade minière (USAF)","aleatoire","Services de santé","an",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension chauffage","Conflit lié à l’exploitation artisanale","Conflits lié au vol, Conflits concernant le partage des gains, Conflits entre propriétaires et exploitants",3,0
43,34,"IPIS","IPIS - TetraTech 2019","cafmine00034","Péya","2019-04-26",1,,"0101000020E61000004576CDBF70F9304014C1665E21961640",16.9743766667,5.6466116667,"GPS","Ombella-M'Poko","Yaloké","Guézéli","Oko-Péya",20,350,150,"Laver, Transporter, Traiter",50,"Creuser, Laver, Transporter","Or",0,1,0,"Dombourou, Gaga, Yaloké",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,0,0
44,35,"IPIS","IPIS - TetraTech 2019","cafmine00035","Oko-Péya","2019-04-26",1,,"0101000020E6100000AB38FDB464F43040CDB9AD4F268B1640",16.9546616667,5.6358883333,"GPS","Ombella-M'Poko","Yaloké","Guézéli","Oko-Péya",40,1000,200,"Concasser, Laver, Transporter, Traiter",100,"Creuser, Concasser, Laver, Transporter","Or",0,1,0,"Gaga, Yaloké","Brigade minière (USAF)","aleatoire",,,,,"etatique","FACA",,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,30,0
45,36,"IPIS","IPIS - TetraTech 2019","cafmine00036","Nandombo","2019-04-26",1,,"0101000020E6100000F1AF0DF0B7F83040D5690BAD61791640",16.9715566667,5.6185366667,"GPS","Ombella-M'Poko","Yaloké","Guézéli","Dombourou",30,200,120,"Laver, Transporter, Traiter",30,"Creuser, Laver, Transporter","Or",0,1,0,"Gaga, Yaloké",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,1,0
46,53,"IPIS","IPIS - TetraTech 2019","cafmine00053","Lyn","2019-04-26",1,,"0101000020E6100000078EF31276943140C52A77C1CD7F1540",17.5799266667,5.3748083333,"GPS","Ombella-M'Poko","Bossembélé","Bossembélé","Bokoin Ferme",2,250,25,"Creuser, Creuser sous terre, Concasser, Laver, Transporter, Traiter",15,"Creuser, Laver, Traiter, Autres activités","Or",0,1,0,"Yaloké, Bossangoa","Autorités locales ou coutumières","aleatoire",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,1,"Gendarmerie et jeunes qui arrangent les routes",1,"extension etayement",,,1,0
47,54,"IPIS","IPIS - TetraTech 2019","cafmine00054","Wesse-Doli","2019-04-26",1,,"0101000020E6100000FF5BC98E8D94314064AF777FBC871540",17.580285,5.382555,"GPS","Ombella-M'Poko","Bossembélé","Bossembélé","Lyn",2,300,30,"Creuser, Creuser sous terre, Laver, Traiter",50,"Creuser, Laver, Traiter","Or",0,1,0,"Bossangoa, Yaloké, Bangui, Bossembélé","Gendarmerie","aleatoire",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,1,"Une barrière étatique et deux barrières informelles",1,"etayement extension chauffage",,,0,0
48,90,"IPIS","IPIS - TetraTech 2019","cafmine00090","Rouwé","2019-04-26",1,,"0101000020E61000008655BC9179AC30404832AB77B87D1A40",16.67373,6.622774,"Approximation","Ouham-Pendé","Bozoum","Dan-Gbabiri","Bodivo",2,200,40,"Creuser, Laver, Transporter, Traiter",80,"Creuser, Laver, Transporter, Traiter","Or",0,1,0,"Bozoum","Administration des mines","aleatoire","Brigade minière (USAF)","aleatoire","Autorités locales ou coutumières","mois","0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension chauffage","Conflit lié à l’exploitation artisanale","Conflits lié au vol, Conflits entre propriétaires et exploitants",0,0
49,37,"IPIS","IPIS - TetraTech 2019","cafmine00037","Gbargbar","2019-04-27",1,,"0101000020E6100000A2A2C2FD6DFC30402184AE22B65E1640",16.9860533333,5.5924916667,"GPS","Ombella-M'Poko","Yaloké","Guézéli","Dombourou",20,200,120,"Laver, Transporter, Traiter",30,"Creuser, Laver, Transporter","Or",0,1,0,"Yaloké, Bangui, Garoua Boulaï","Brigade minière (USAF)","aleatoire",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,9,0
50,38,"IPIS","IPIS - TetraTech 2019","cafmine00038","Birao","2019-04-27",1,,"0101000020E6100000E157D43BEFF93040850838842AB51640",16.9763066667,5.67692,"GPS","Ombella-M'Poko","Yaloké","Guézéli","Camp-Bangui",10,200,25,"Laver, Transporter, Traiter",40,"Creuser, Laver, Transporter","Or",0,1,0,"Gaga, Yaloké",,,,,,,"etatique","FACA",,,,,,,,,,,,,,,,,,,,,,,,0,,1,"extension",,,4,0
